id,ano,barrio,titulo,descripcion,direccion,longlat,presupuesto,tema,temaResumen,temaScrolli,subtema,beneficiarios,obrasOCampana,votos,estado
492,2020,VICENTE LÓPEZ,Cestos Papeleros,Cestos Papeleros,Ubicación random dentro del Barrio,"-34.528498714113674, -58.474473322006546",1522500,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,CESTOS,POBLACIÓN EN GENERAL,1,223,EN EJECUCIÓN
493,2020,VICENTE LÓPEZ,Club VILO,Acondicionar cancha de fútbol,Gdor Vernet 455,"-34.5232226111938, -58.47096664656387",3000000,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,DEPORTES Y RECREACIÓN,POBLACIÓN EN GENERAL,1,1529,FINALIZADO
494,2020,VICENTE LÓPEZ,Escuela Secundaria Nº 6,Remodelación de baños (2ª etapa),AGUSTÍN ÁLVAREZ 1431,"-34.53279396948948, -58.47713983807902",2400000,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,EDUCACIÓN,JÓVENES,1,640,EN EJECUCIÓN
495,2020,VICENTE LÓPEZ,Instituto Bignone,Horno para el taller de cerámica,HAEDO 1426,"-34.52813266551438, -58.47992414748232",328000,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,RECREACIÓN,POBLACIÓN CON DISCAPACIDAD,1,279,FINALIZADO
496,2020,VICENTE LÓPEZ,Parque de Calistenia en el vial costero,Parque de Calistenia en el vial costero,Ubicación random en el Paseo de la Costa (entre H. Yrigoyen y Lavalle),"-34.51838190249481, -58.47004444730034",575000,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,DEPORTE,POBLACIÓN EN GENERAL,1,386,EN PROCESO DE COMPRA
497,2020,VICENTE LÓPEZ,Seguridad del barrio: mejorar el equipamiento de tecnológico.,"Cámaras de vigilancia, puntos seguros, entre otros",Ubicación random dentro del Barrio,"-34.528498714113674, -58.474473322006546",768431,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,CÁMARAS,POBLACIÓN EN GENERAL,1,383,EN EJECUCIÓN
498,2020,VILLA ADELINA,AVAPEA (Asoc Vecinos y Amigos de la Plaza E Ader),3º etapa del salón de usos múltiples,SANTIAGO DEL ESTERO Y TRIUNVIRATO,"-34.53022691886144, -58.549678109415936",2500000,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,RECREACIÓN,POBLACIÓN EN GENERAL,1,845,EN EJECUCIÓN
499,2020,VILLA ADELINA,Club SUVA (Sociedades Unidas de Villa Adelina),Nuevo vestuario,Ricardo Rojas 4055,"-34.52291336516049, -58.54455245790312",3000000,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,DEPORTES Y RECREACIÓN,POBLACIÓN EN GENERAL,1,1182,EN EJECUCIÓN
500,2020,VILLA ADELINA,Escuela de Educación Técnica Nº 1,Poner en valor aulas del 1º piso. Equipos multimedia,Cerrito 3966,"-34.52883622412805, -58.54992997956695",3000000,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,EDUCACIÓN,JÓVENES,1,568,EN PROCESO DE COMPRA
501,2020,VILLA ADELINA,Escuela Secundaria Nº 11,Equipos de aire acondicionado con instalación eléctrica. Proyector e instrumentos musicales,GOBERNADOR CASTRO 3720,"-34.53235513749737, -58.54884297355724",959886,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,EDUCACIÓN,NIÑOS,1,393,FINALIZADO
502,2020,VILLA ADELINA,Jardín de Infantes Nº 907,Reformar el patio de juegos,Cosme Argerich 3501,"-34.53103479078861, -58.544422330336815",810000,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,EDUCACIÓN,NIÑOS,1,885,EN EJECUCIÓN
503,2020,VILLA MARTELLI,Artistas Plásticos de Villa Martelli,Mobiliario y materiales para los cursos,LAVALLE 3890,"-34.54568534479019, -58.50716656076176",96354,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,CULTURA,POBLACIÓN EN GENERAL,1,192,FINALIZADO
504,2020,VILLA MARTELLI,Bomberos Voluntarios de Vicente López,Equipamiento para el Destacamento de Villa Martelli,Av Maipú 1669,"-34.52211839263772, -58.48429519328403",3000000,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,SANITARIA,POBLACIÓN EN GENERAL,1,2257,FINALIZADO
505,2020,VILLA MARTELLI,CEMINA Villa Martelli,Cambio y relocalización de termotanques,LAPRIDA 4450,"-34.551414740215336, -58.51150311268456",500712,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,DEPORTES Y RECREACIÓN,POBLACIÓN EN GENERAL,1,290,FINALIZADO
506,2020,VILLA MARTELLI,Centro Barrial Infantil Habana,Ampliación de la sala de computación,HABANA 170,"-34.55621862843535, -58.51903192954271",550000,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,EDUCACIÓN,NIÑOS POBLACIÓN VULNERABLE,1,375,FINALIZADO
507,2020,VILLA MARTELLI,Club Atlético Laprida,Baño para personas con movilidad reducida y reformas en la planta baja,LAPRIDA 4440,"-34.55116979972601, -58.51121914059768",3000000,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,DEPORTES Y RECREACIÓN,PERSONAS CON DISCAPACIDAD,1,1193,FINALIZADO
508,2020,VILLA MARTELLI,Cruz Roja Argentina,Puesto sanitario para extracción de sangre,Ubicación random dentro del Barrio,"-34.551337644443485, -58.50942709910658",675000,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,SANITARIA,POBLACIÓN EN GENERAL,1,979,FINALIZADO
509,2020,VILLA MARTELLI,Escuela Primaria Nº 11,Reparación y cambio de persianas de enrollar,ESTANISLAO DEL CAMPO 777,"-34.54062015783368, -58.500969272801086",482798,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,EDUCACIÓN,NIÑOS,1,224,FINALIZADO
510,2020,VILLA MARTELLI,Escuela Secundaria Nº 2,Refacciones y pintura del patio.,DEPRATTI ESQ. ZORROAQUIN,"-34.55184880720657, -58.504419934729874",3000000,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,EDUCACIÓN,JÓVENES,1,767,EN EJECUCIÓN
511,2020,VILLA MARTELLI,Jardín de Infantes Nº 918,Equipamiento tecnológico,MOLDES E/BALCARCE y COCHABAMBA,"-34.55102251354769, -58.518550903317724",357180,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,EDUCACIÓN,NIÑOS POBLACIÓN VULNERABLE,1,603,FINALIZADO
512,2020,VILLA MARTELLI,Jardín Maternal Municipal Nº 1,Material didáctico y equipamiento para la cocina,MOLDES 4925,"-34.54122513569537, -58.47604000122788",275000,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,EDUCACIÓN,NIÑOS POBLACIÓN VULNERABLE,1,375,FINALIZADO
513,2020,VILLA MARTELLI,La ecología empieza por casa,Talleres de reciclaje,Ubicación random dentro del Barrio,"-34.551337644443485, -58.50942709910658",260000,EDUCACIÓN,EDUCACIÓN,EDUCACIÓN,RECICLADO,NIÑOS,2,216,FINALIZADO
514,2022,CARAPACHAY,Bomberos Voluntarios de Vicente López,Adquisición de equipamiento y mejora de las instalaciones. ,ANTÁRTIDA ARGENTINA Y JOSÉ INGENIEROS.,,"  5.000.000,00   ",INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,,SANITARIA,POBLACIÓN EN GENERAL,1,332,FINALIZADO
515,2022,CARAPACHAY,Unión Vecinal 25 de Mayo,"Revoque y pintura exterior de la medianera, reformas en baños, reparación del tiraje de la parrilla e instalación de defensas en la cancha de fútbol 5. ",R. OBLIGADO 5280.,,"  2.680.000,00   ",,,,,POBLACIÓN EN GENERAL,1,99,EN EJECUCIÓN
516,2022,CARAPACHAY,Jardín de Infantes N° 916 (Provincial),Cambiar las ventanas de las aulas de la planta baja y reparar y pintar sectores del interior del Jardín. ,DERQUI 5711.,,"  2.100.000,00   ",,,,,,1,92,FINALIZADO
517,2022,CARAPACHAY,Sociedad de Fomento Drysdale,Cambio de los ventanales del gimnasio principal. J.J. ,CASTELLI 5770.,,"  2.435.000,00   ",,,,,POBLACIÓN EN GENERAL,1,90,FINALIZADO
518,2022,CARAPACHAY,Cestos papeleros,Adquisición y colocación de cestos papeleros en el barrio.,,,"  630.000,00   ",,,,,POBLACIÓN EN GENERAL,1,20,FINALIZADO
519,2022,CARAPACHAY,Veredas limpias de caca,Instalación de dispensers de bolsas para deposiciones caninas en distintos puntos del barrio.,,,"  429.000,00   ",,,,,POBLACIÓN EN GENERAL,1,20,FINALIZADO
520,2022,CARAPACHAY,"Centro de Jubilados ""Unión Fraternal de Carapachay""",Adquisición de equipamiento para el salón y para la cocina. ,RAMÓN CASTRO 5755.,,"  104.400,00   ",,,,,,1,12,FINALIZADO
521,2022,FLORIDA ESTE,Teatro de Repertorio del Norte,Iluminación integral de la sede y cámaras de seguridad.,,,"  1.700.000,00   ",,,,,POBLACIÓN EN GENERAL,1,210,FINALIZADO
522,2022,FLORIDA ESTE,Cruz Roja Argentina - Filial Vicente López,Adquisición de un vehículo de servicio equipado para la Filial Vicente López. ,R. E DE SAN MARTÍN 1411.,,"  5.000.000,00   ",,,,,POBLACIÓN EN GENERAL,1,180,EN EJECUCIÓN
523,2022,FLORIDA ESTE,Club Defensores de Florida,"Mejora en sanitarios y vestuarios, baño para personas con movilidad reducida, modificación del frente y reformas en sector de planta baja. ",LAPRIDA 2064.,,"  5.000.000,00   ",,,,,POBLACIÓN EN GENERAL,1,163,EN EJECUCIÓN
524,2022,FLORIDA ESTE,Seguridad en el barrio,"Mejorar el equipamiento tecnológico (cámaras, puntos seguros, etc.)",,,"  4.387.000,00   ",,,,,POBLACIÓN EN GENERAL,1,156,FINALIZADO
525,2022,FLORIDA ESTE,APOVILO (Asociación de Pacientes Oncológicos de Vicente López),Reacondicionamiento de la sede y provisión de equipamiento. ,H. YRIGOYEN 1757.,,"  1.000.000,00   ",,,,,POBLACIÓN EN GENERAL,1,129,FINALIZADO
526,2022,FLORIDA ESTE,Club Villa Pearson,Mejoras edilicias en los vestuarios.,LAPRIDA 2929.,,"  2.500.000,00   ",,,,,POBLACIÓN EN GENERAL,1,115,FINALIZADO
527,2022,FLORIDA ESTE,Centro de Formación Laboral N° 1 (Provincial),Adquisición de equipamiento tecnológico destinado a personas con discapacidad intelectual. ,WARNES 445,,"  2.300.000,00   ",,,,,,1,107,FINALIZADO
528,2022,FLORIDA ESTE,Jardín de Infantes N° 902 (Provincial),"Adquisición e instalación de juegos, piso antigolpes y reemplazo de la puerta de ingreso al patio. ",ARENALES 3020.,,"  1.560.750,00   ",,,,,,1,103,EN EJECUCIÓN
529,2022,FLORIDA ESTE,Laboratorio de Arte y Tecnología,Mejoras en inmueble ubicado en URQUIZA 2285 y equipamiento para ser destinado a un espacio de arte y tecnología para jóvenes.,URQUIZA 2285.,,"  2.175.000,00   ",,,,,,1,102,CANCELADO
530,2022,FLORIDA ESTE,Veredas limpias de caca,Instalación de dispensers con bolsas para deposiciones caninas en distintos puntos del barrio.,,,"  343.200,00   ",,,,,POBLACIÓN EN GENERAL,1,55,FINALIZADO
531,2022,FLORIDA OESTE,Sociedad de Fomento Florida Sud,Nuevo salón multipropósito en la planta alta. ,M.J. HAEDO 3885.,,"  5.000.000,00   ",,,,,POBLACIÓN EN GENERAL,1,555,EN EJECUCIÓN
532,2022,FLORIDA OESTE,Club Atlético Colegiales,Iluminación del estadio de fútbol.,MALAVER 4706.,,"  5.000.000,00   ",,,,,POBLACIÓN EN GENERAL,1,443,FINALIZADO
533,2022,FLORIDA OESTE,Centro Barrial Infantil Las Flores,Equipamiento tecnológico y mobiliario. ,BERUTI 761.,,"  2.384.400,00   ",,,,,,1,435,FINALIZADO
534,2022,FLORIDA OESTE,Orquesta Infanto Juvenil de Vte. López,Instrumentos e insumos para la orquesta que funciona en el edificio de la Escuela Primaria N° 17.,G. MÉNDEZ 2050.,,"  5.000.000,00   ",,,,,,1,184,EN EJECUCIÓN
535,2022,FLORIDA OESTE,Biblioteca Popular Nora Bombelli,"Reparar humedades, pintura interior y exterior.",FRANCIA 3569.,,"  1.300.000,00   ",,,,,POBLACIÓN EN GENERAL,1,89,EN EJECUCIÓN
536,2022,FLORIDA OESTE,Jardín de Infantes N° 908 (Provincial),Restauración del patio de juegos del Jardín con piso antigolpes y juegos nuevos. ,ESMERALDA 4470.,,"  813.500,00   ",,,,,,1,55,FINALIZADO
537,2022,FLORIDA OESTE,Voluntarias Maternidad Santa Rosa,Adquisición de mobiliario y equipamiento para la sede. .,M.J. HAEDO 4101.,,"  357.585,00   ",,,,,,1,45,FINALIZADO
538,2022,FLORIDA OESTE,Jardín de Infantes N° 905 (Provincial),Remoción de arenero y la instalación de un piso antigolpes y de un módulo de juegos infantiles. ,PRINGLES 3665.,,"  1.340.000,00   ",,,,,,1,32,FINALIZADO
539,2022,FLORIDA OESTE,Semáforos con cuenta regresiva,Compra e instalación de módulos adicionales de cuenta regresiva en los semáforos existentes sobre Av. San Martín.,,,"  732.750,00   ",,,,,POBLACIÓN EN GENERAL,1,27,FINALIZADO
540,2022,LA LUCILA,Bomberos Voluntarios de Vicente López,Adquisición de equipamiento y modernización de las instalaciones del cuartel y de los destacamentos.,AV. MAIPÚ 1669.,,"  5.000.000,00   ",INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,,SANITARIA,POBLACIÓN EN GENERAL,1,318,FINALIZADO
541,2022,LA LUCILA,Sociedad de Fomento La Lucila,"Pintura exterior, cambio de aberturas y ventiladores.",TUCUMÁN 3339.,,"  2.400.000,00   ",,,,,POBLACIÓN EN GENERAL,1,118,FINALIZADO
542,2022,LA LUCILA,Observatorio de Aves,Insumos y cartelería para el observatorio y su entorno. ,PARQUE NATURAL LA LUCILA (altura Roma).,,"  1.613.000,00   ",AMBIENTE,AMBIENTE,,,POBLACIÓN EN GENERAL,1,112,EN EJECUCIÓN
543,2022,LA LUCILA,Cruz Roja Argentina - Filial Vicente López,"Puestos de testeo de enfermedades, formación y atención para la Filial Vicente López.",R. E. DE SAN MARTÍN 1411.,,"  1.947.000,00   ",,,,,,1,110,EN EJECUCIÓN
